datetime,adj_close,close,high,low,open,volume,symbol
2026-09-01 11:14:00+05:30,1304.0,1304.0,1304.300048828125,1303.9000244140625,1304.300048828125,12997,RELIANCE
2026-09-01 11:15:00+05:30,1304.0,1304.0,1304.300048828125,1303.9000244140625,1304.0,9950,RELIANCE
2026-09-01 11:16:00+05:30,1304.4000244140625,1304.4000244140625,1304.800048828125,1303.699951171875,1303.800048828125,38234,RELIANCE
2026-09-01 11:17:00+05:30,1303.9000244140625,1303.9000244140625,1305.0999755859375,1303.5999755859375,1304.5999755859375,89246,RELIANCE
2026-09-01 11:18:00+05:30,1303.300048828125,1303.300048828125,1303.9000244140625,1303.300048828125,1303.699951171875,6403,RELIANCE
2026-09-01 11:19:00+05:30,1304.699951171875,1304.699951171875,1304.699951171875,1303.199951171875,1303.699951171875,12905,RELIANCE
2026-09-01 11:20:00+05:30,1304.300048828125,1304.300048828125,1304.699951171875,1304.0999755859375,1304.699951171875,10003,RELIANCE
2026-09-01 11:21:00+05:30,1305.699951171875,1305.699951171875,1305.9000244140625,1304.5999755859375,1304.5999755859375,50155,RELIANCE
2026-09-01 11:22:00+05:30,1305.5999755859375,1305.5999755859375,1306.5,1305.0999755859375,1305.699951171875,39055,RELIANCE
2026-09-01 11:23:00+05:30,1305.699951171875,1305.699951171875,1306.199951171875,1305.5999755859375,1306.0,7758,RELIANCE
2026-09-01 11:24:00+05:30,1305.199951171875,1305.199951171875,1305.800048828125,1305.199951171875,1305.699951171875,5438,RELIANCE
2026-09-01 11:25:00+05:30,1305.0999755859375,1305.0999755859375,1305.5,1305.0999755859375,1305.199951171875,3471,RELIANCE
2026-09-01 11:26:00+05:30,1305.0999755859375,1305.0999755859375,1305.300048828125,1305.0999755859375,1305.0999755859375,7733,RELIANCE
2026-09-01 11:27:00+05:30,1305.0,1305.0,1305.0999755859375,1305.0,1305.0,17845,RELIANCE
2026-09-01 11:28:00+05:30,1305.300048828125,1305.300048828125,1305.4000244140625,1305.0,1305.0,29708,RELIANCE
2026-09-01 11:29:00+05:30,1305.300048828125,1305.300048828125,1305.4000244140625,1305.199951171875,1305.300048828125,12983,RELIANCE
2026-09-01 11:30:00+05:30,1306.0,1306.0,1306.0,1305.0,1305.199951171875,24739,RELIANCE
2026-09-01 11:31:00+05:30,1306.0,1306.0,1306.4000244140625,1305.800048828125,1306.199951171875,33032,RELIANCE
2026-09-01 11:32:00+05:30,1306.0,1306.0,1306.5999755859375,1306.0,1306.5,6965,RELIANCE
2026-09-01 11:33:00+05:30,1306.0,1306.0,1306.4000244140625,1305.699951171875,1306.199951171875,14943,RELIANCE
2026-09-01 11:34:00+05:30,1305.5999755859375,1305.5999755859375,1306.4000244140625,1305.5999755859375,1306.0,16717,RELIANCE
2026-09-01 11:35:00+05:30,1305.9000244140625,1305.9000244140625,1306.0,1305.5,1306.0,3672,RELIANCE
2026-09-01 11:36:00+05:30,1306.199951171875,1306.199951171875,1306.4000244140625,1305.0999755859375,1305.9000244140625,29875,RELIANCE
